workflow,run,ok,duration_ms,failing_node,error
01,1,true,10007,"",""
01,2,true,9260,"",""
01,3,true,9896,"",""
02,1,true,73889,"",""
02,2,true,195565,"",""
02,3,true,191261,"",""
03,1,true,6991,"",""
03,2,true,6750,"",""
03,3,true,6993,"",""
04,1,true,8323,"",""
04,2,true,8192,"",""
04,3,true,8088,"",""
05,1,true,6719,"",""
05,2,true,7002,"",""
05,3,true,6531,"",""
06a,1,true,6595,"",""
06a,2,true,6936,"",""
06a,3,true,6758,"",""
06b,1,true,6830,"",""
06b,2,true,6650,"",""
06b,3,true,6655,"",""
07,1,true,6522,"",""
07,2,true,6700,"",""
07,3,true,6758,"",""
